Devices
200
,,AMTI Accu     #1 - Force,,,AMTI Accu     #1 - Moment,,,AMTI Accu     #1 - CoP,,,AMTI Accu     #2 - Force,,,AMTI Accu     #2 - Moment,,,AMTI Accu     #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
98,0,0.388649,-0.520353,71.9381,-113.646,4.03178,-25.1764,-0.0559519,-1.58002,0,0,0,0,0,0,0,-515,0,0
99,0,0.408845,-0.375315,73.5452,-68.7509,-41.9914,-16.0085,0.56339,-0.938508,0,0,0,0,0,0,0,-515,0,0
100,0,0.539425,-0.296049,70.8474,-112.8,-57.6481,-55.4144,0.811183,-1.61231,0,0,0,0,0,0,0,-515,0,0
101,0,0.545195,-0.495186,70.7257,-77.4812,-37.657,-60.551,0.534863,-1.10543,0,0,0,0,0,0,0,-515,0,0
102,0,0.417759,-0.56388,69.9782,-102.937,-87.4962,-62.7657,1.25911,-1.47963,0,0,0,0,0,0,0,-515,0,0
103,0,0.670294,-0.515894,68.4728,-131.188,-89.2399,-55.7588,1.30129,-1.91611,0,0,0,0,0,0,0,-515,0,0
104,0,0.532967,-0.626935,70.4396,-64.2052,-54.0865,-23.962,0.773521,-0.927805,0,0,0,0,0,0,0,-515,0,0
105,0,0.472061,-0.637208,70.0778,-64.6301,-45.6675,-4.11397,0.652187,-0.927397,0,0,0,0,0,0,0,-515,0,0
106,0,0.625425,-0.458436,68.7637,-87.814,-39.8777,-118.84,0.579526,-1.2775,0,0,0,0,0,0,0,-515,0,0
107,0,0.55119,-0.345478,68.2784,-100.435,-44.3496,-161.823,0.64971,-1.47116,0,0,0,0,0,0,0,-515,0,0
108,0,0.726044,-0.376709,70.481,-122.473,-45.0768,-76.5879,0.64062,-1.73455,0,0,0,0,0,0,0,-515,0,0
109,0,0.689598,-0.507275,70.7449,-144.712,-48.9464,-82.9071,0.692373,-2.04683,0,0,0,0,0,0,0,-515,0,0
110,0,0.594539,-0.484239,69.8678,-183.808,-39.0954,-16.3943,0.559005,-2.63233,0,0,0,0,0,0,0,-515,0,0
111,0,0.564852,-0.375144,74.4153,-117.555,-47.6066,76.1041,0.634689,-1.61887,0,0,0,0,0,0,0,-515,0,0
112,0,0.515492,-0.189377,75.1137,-82.2417,-17.2075,143.927,0.223863,-1.09583,0,0,0,0,0,0,0,-515,0,0
113,0,0.291882,-0.271338,73.6465,-111.636,-38.7831,28.9009,0.529025,-1.51751,0,0,0,0,0,0,0,-515,0,0
114,0,0.413104,-0.313853,72.29,-77.2887,-29.2512,-34.5496,0.401885,-1.06469,0,0,0,0,0,0,0,-515,0,0
115,0,0.192115,-0.415682,72.2884,-55.7558,-14.6969,15.096,0.203328,-0.77123,0,0,0,0,0,0,0,-515,0,0
116,0,0.124822,-0.511102,70.1869,-104.38,-40.8565,15.83,0.588474,-1.49896,0,0,0,0,0,0,0,-515,0,0
117,0,0.256431,-0.609415,69.3024,-131.603,-7.18274,-57.8163,0.104918,-1.89887,0,0,0,0,0,0,0,-515,0,0
118,0,0.392663,-0.454519,69.0458,-103.327,-38.2869,-59.1544,0.556671,-1.49533,0,0,0,0,0,0,0,-515,0,0
119,0,0.366473,-0.593031,67.805,-142.865,-34.9821,-92.9026,0.512665,-2.11329,0,0,0,0,0,0,0,-515,0,0
120,0,0.269195,-0.552527,67.8103,-140.162,-32.1384,-39.1538,0.4733,-2.06868,0,0,0,0,0,0,0,-515,0,0
121,0,0.292877,-0.563384,67.5452,-128.896,-63.229,-15.999,0.937542,-1.90853,0,0,0,0,0,0,0,-515,0,0
122,0,0.39711,-0.528482,66.184,-115.628,-29.6646,-89.8204,0.442615,-1.74549,0,0,0,0,0,0,0,-515,0,0
123,0,0.427535,-0.463474,66.358,-119.726,-7.3799,-23.0582,0.111193,-1.80342,0,0,0,0,0,0,0,-515,0,0
124,0,0.331949,-0.515124,68.601,-140.191,-4.62255,15.4274,0.0679948,-2.04137,0,0,0,0,0,0,0,-515,0,0
125,0,0.410177,-0.495466,68.4921,-145.912,-56.4438,-30.456,0.82995,-2.13041,0,0,0,0,0,0,0,-515,0,0
126,0,0.612586,-0.459833,68.5772,-158.305,-51.393,48.8856,0.75141,-2.30768,0,0,0,0,0,0,0,-515,0,0
127,0,0.560708,-0.412025,72.5795,-82.2027,-82.8517,25.4795,1.12633,-1.16353,0,0,0,0,0,0,0,-515,0,0
128,0,0.593544,-0.415125,72.9775,-42.0596,-59.3734,-3.25056,0.807642,-0.576515,0,0,0,0,0,0,0,-515,0,0
129,0,0.705335,-0.47287,71.8208,-79.7099,-38.1084,-80.7976,0.530686,-1.11148,0,0,0,0,0,0,0,-515,0,0
130,0,0.632418,-0.361501,71.2026,-115.816,-11.8278,-80.4278,0.165079,-1.62728,0,0,0,0,0,0,0,-515,0,0
131,0,0.624644,-0.505133,69.5091,-119.385,-70.6146,-83.0521,1.02706,-1.71716,0,0,0,0,0,0,0,-515,0,0
132,0,0.496896,-0.468452,67.2632,-121.199,-101.498,-90.9377,1.50857,-1.80301,0,0,0,0,0,0,0,-515,0,0
133,0,0.421262,-0.413817,68.2793,-160.75,-63.1897,54.3653,0.932565,-2.34802,0,0,0,0,0,0,0,-515,0,0
134,0,0.336625,-0.450561,69.2739,-108.642,-91.1033,66.6492,1.31453,-1.56921,0,0,0,0,0,0,0,-515,0,0
135,0,0.37583,-0.320215,70.1881,-58.1236,-45.0418,34.2386,0.647682,-0.829519,0,0,0,0,0,0,0,-515,0,0
136,0,0.444242,-0.445963,71.2628,-58.2033,-10.5827,-0.275712,0.148543,-0.816277,0,0,0,0,0,0,0,-515,0,0
137,0,0.551678,-0.533044,69.0484,-119.651,-61.2993,-20.9538,0.901544,-1.74889,0,0,0,0,0,0,0,-515,0,0
138,0,0.46665,-0.387804,67.2678,-117.933,-34.1043,64.7372,0.504009,-1.75151,0,0,0,0,0,0,0,-515,0,0
139,0,0.330403,-0.320466,67.1985,-114.412,-42.3328,34.9314,0.629253,-1.70236,0,0,0,0,0,0,0,-515,0,0
140,0,0.264182,-0.342237,66.3787,-96.1789,-69.7102,2.0204,1.05135,-1.44664,0,0,0,0,0,0,0,-515,0,0
141,0,0.1949,-0.626863,66.4429,-117.731,-70.6357,44.1959,1.06338,-1.77001,0,0,0,0,0,0,0,-515,0,0
142,0,0.322557,-0.752188,67.1614,-147.416,-49.9253,93.7405,0.744329,-2.19433,0,0,0,0,0,0,0,-515,0,0
143,0,0.398135,-0.708978,73.2495,-133.546,-56.1508,0.171721,0.760363,-1.84076,0,0,0,0,0,0,0,-515,0,0
144,0,0.613664,-0.683241,73.6293,-111.241,2.90868,-101.921,-0.0547112,-1.50892,0,0,0,0,0,0,0,-515,0,0
145,0,0.605021,-0.634622,71.3283,-78.1204,-32.9456,-85.9631,0.468931,-1.09259,0,0,0,0,0,0,0,-515,0,0
146,0,0.65683,-0.568347,70.5555,-87.4855,-46.9703,-88.1655,0.665216,-1.24054,0,0,0,0,0,0,0,-515,0,0
147,0,0.571814,-0.638265,69.4433,-88.2994,-79.3911,-51.8019,1.14765,-1.2706,0,0,0,0,0,0,0,-515,0,0
148,0,0.529876,-0.682452,67.6564,-105.856,-39.8806,-65.3101,0.581107,-1.56807,0,0,0,0,0,0,0,-515,0,0
149,0,0.387531,-0.490182,70.5151,-88.1373,-7.78213,-82.6512,0.111205,-1.26194,0,0,0,0,0,0,0,-515,0,0
150,0,0.183228,-0.431489,70.7555,-84.5265,-37.7805,-60.6048,0.538655,-1.1965,0,0,0,0,0,0,0,-515,0,0
151,0,0.262198,-0.439082,69.82,-78.8137,-46.0491,-97.5542,0.659406,-1.1286,0,0,0,0,0,0,0,-515,0,0
152,0,0.166584,-0.444405,68.6132,-35.937,-11.5765,-117.958,0.16513,-0.519467,0,0,0,0,0,0,0,-515,0,0
153,0,0.0485734,-0.579325,66.9506,-79.8007,-29.6935,0.490725,0.447668,-1.19973,0,0,0,0,0,0,0,-515,0,0
154,0,0.159968,-0.654307,66.6643,-112.623,-50.9956,-7.10814,0.76483,-1.68937,0,0,0,0,0,0,0,-515,0,0
155,0,0.3389,-0.533707,66.1557,-133.059,-58.2234,-135.25,0.880497,-2.01282,0,0,0,0,0,0,0,-515,0,0
156,0,0.474674,-0.530081,65.7082,-98.3296,-62.8474,-95.0239,0.956495,-1.49581,0,0,0,0,0,0,0,-515,0,0
157,0,0.301243,-0.369178,68.1694,-104.862,-47.2816,-94.3575,0.698677,-1.53138,0,0,0,0,0,0,0,-515,0,0
158,0,0.274755,-0.42175,69.6928,-125.375,-4.01374,-123.119,0.05854,-1.79881,0,0,0,0,0,0,0,-515,0,0
159,0,0.318248,-0.510276,72.4209,-83.8967,-36.5143,-100.343,0.491928,-1.17045,0,0,0,0,0,0,0,-515,0,0
160,0,0.371399,-0.400015,72.1615,-56.6432,-39.3061,-135.156,0.54154,-0.784394,0,0,0,0,0,0,0,-515,0,0
161,0,0.341505,-0.382664,69.8908,-65.7655,-37.2768,-49.947,0.534848,-0.942944,0,0,0,0,0,0,0,-515,0,0
162,0,0.313212,-0.417344,69.7928,-72.5794,-29.8173,-101.12,0.428047,-1.03991,0,0,0,0,0,0,0,-515,0,0
163,0,0.222726,-0.39249,69.6591,-59.0183,-57.1794,-0.713259,0.822437,-0.8466,0,0,0,0,0,0,0,-515,0,0
164,0,0.282643,-0.359212,67.423,-62.4678,-64.6086,6.02424,0.956654,-0.929197,0,0,0,0,0,0,0,-515,0,0
