Devices
200
,,AMTI Accu     #1 - Force,,,AMTI Accu     #1 - Moment,,,AMTI Accu     #1 - CoP,,,AMTI Accu     #2 - Force,,,AMTI Accu     #2 - Moment,,,AMTI Accu     #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
107,0,0.0569364,-0.371746,35.6289,-138.795,-16.2791,-95.0791,0.456998,-3.89095,0,0,0,0,0,0,0,-515,0,0
108,0,0.254283,-0.417131,37.4296,-100.2,-10.2013,-15.8233,0.275168,-2.69901,0,0,0,0,0,0,0,-515,0,0
109,0,0.230492,-0.526202,37.3301,-72.4371,-17.1,-2.02713,0.459579,-1.93894,0,0,0,0,0,0,0,-515,0,0
110,0,0.173192,-0.512953,39.9894,-147.705,-7.69619,-70.7449,0.2011,-3.6485,0,0,0,0,0,0,0,-515,0,0
111,0,0.23959,-0.517684,44.3935,-61.2331,-34.5718,-119.109,0.760663,-1.45442,0,0,0,0,0,0,0,-515,0,0
112,0,-0.103328,-0.426895,40.7907,-37.3504,-30.9061,-60.9634,0.747485,-0.934471,0,0,0,0,0,0,0,-515,0,0
113,0,0.142588,-0.374414,37.5576,-96.6381,-52.0408,-54.1509,1.39632,-2.59487,0,0,0,0,0,0,0,-515,0,0
114,0,0.229227,-0.407648,38.2356,-78.0415,-32.7777,-55.5427,0.866028,-2.05294,0,0,0,0,0,0,0,-515,0,0
115,0,0.186567,-0.421614,37.5774,-103.284,-48.4416,-17.726,1.2962,-2.75942,0,0,0,0,0,0,0,-515,0,0
116,0,0.127586,-0.445502,36.9082,-90.5937,25.9612,-74.2969,-0.709592,-2.45269,0,0,0,0,0,0,0,-515,0,0
117,0,-0.0479704,-0.412581,36.7256,-91.722,19.6908,-45.6095,-0.535423,-2.49772,0,0,0,0,0,0,0,-515,0,0
118,0,0.0407524,-0.363653,35.6231,-81.3411,-38.1123,-161.651,1.08339,-2.28005,0,0,0,0,0,0,0,-515,0,0
119,0,0.0527111,-0.224265,35.4637,-111.074,-13.3689,-216.66,0.379422,-3.13002,0,0,0,0,0,0,0,-515,0,0
120,0,-0.00723282,-0.114059,37.629,-56.5417,-12.7206,-222.906,0.331177,-1.53999,0,0,0,0,0,0,0,-515,0,0
121,0,-0.129151,-0.18442,38.2089,-61.7668,-12.7501,-187.578,0.333527,-1.61759,0,0,0,0,0,0,0,-515,0,0
122,0,-0.0197975,-0.333635,37.2982,-76.4887,-1.23523,-166.943,0.0310249,-2.05212,0,0,0,0,0,0,0,-515,0,0
123,0,0.0807137,-0.304988,36.6407,-88.9118,-0.00918494,-111.491,0.000456872,-2.42766,0,0,0,0,0,0,0,-515,0,0
124,0,0.112706,-0.28012,36.1554,-105.598,-14.653,-105.337,0.406622,-2.92201,0,0,0,0,0,0,0,-515,0,0
125,0,0.209008,-0.141429,35.6026,-105.623,3.1926,-105.71,-0.0923344,-2.96633,0,0,0,0,0,0,0,-515,0,0
126,0,0.243973,-0.109829,39.2749,-120.786,-58.2957,-107.228,1.42502,-3.07076,0,0,0,0,0,0,0,-515,0,0
127,0,-0.00131138,-0.131117,43.3399,-48.6427,-34.5499,-83.036,0.823856,-1.16539,0,0,0,0,0,0,0,-515,0,0
128,0,0.202347,-0.150124,41.4255,-74.4262,-26.4261,-91.3311,0.64384,-1.82935,0,0,0,0,0,0,0,-515,0,0
129,0,0.254918,-0.201361,40.2016,-54.8252,-54.2187,-182.666,1.34985,-1.36197,0,0,0,0,0,0,0,-515,0,0
130,0,0.0138004,-0.0343351,39.1056,-58.3267,-42.677,-208.846,1.08693,-1.49575,0,0,0,0,0,0,0,-515,0,0
131,0,0.0443306,-0.0120183,37.8878,-118.373,-25.1117,-179.377,0.660738,-3.13608,0,0,0,0,0,0,0,-515,0,0
132,0,0.096706,-0.0188776,37.6597,-71.8285,-62.5734,-108.588,1.6608,-1.90851,0,0,0,0,0,0,0,-515,0,0
133,0,-0.0330647,-0.0951492,37.8214,-76.7519,-17.5379,-135.859,0.465694,-2.0284,0,0,0,0,0,0,0,-515,0,0
134,0,0.0195508,-0.00636654,36.291,-29.6874,13.0057,-100.683,-0.362559,-0.79525,0,0,0,0,0,0,0,-515,0,0
135,0,0.284367,-0.0349856,36.1091,-79.87,35.7363,-134.941,-0.987755,-2.20489,0,0,0,0,0,0,0,-515,0,0
