currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF,Frame,SubFrame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Weight
15940,796.83,764.35,755.79,760.34,769.33,-52.25,-779.3,669.92,-2.76,1.52,0.97,-43.66,3189,0,21.1702,0.741327,-297.467,19042.7,-24914.9,-2144.26,-581.757,-64.016,0,56
15976,797.04,764.39,755.78,760.45,769.41,-61.04,-769.04,657.71,-0.11,0.1,-2.78,-46.66,3196,0,21.758,0.473403,-297.266,19109.9,-24652.2,-1907.31,-580.93,-64.2855,0,56
16011,797.41,764.61,755.75,760.61,769.6,-36.13,-784.67,689.45,-1.16,0.79,0.62,-52.75,3203,0,21.83,0.27563,-297.06,19226.6,-24474.4,-1889.41,-580.389,-64.7229,0,56
16047,797.65,764.84,755.82,760.91,769.8,-48.34,-792.48,661.62,0.08,0.68,0.72,-58.02,3210,0,21.8649,1.65198,-300.31,19161.9,-24637.8,-1989.66,-580.041,-63.8068,0,56
16083,797.27,764.93,755.82,761.36,769.84,-56.64,-788.57,666.5,0.02,-2.02,0.23,-64.04,3218,0,23.8856,2.7935,-307.947,19223.8,-25243.9,-2138.92,-579.975,-62.4256,0,56
16119,797.02,765.01,755.84,761.59,769.87,-44.43,-767.58,677.25,0.16,-1.44,-0.56,-66.64,3225,0,24.4614,4.15671,-311.498,18863.9,-25554.2,-2323.54,-580.036,-60.5586,0,56
16157,796.9,765.15,755.87,761.54,769.86,-53.71,-768.55,673.34,0.11,-0.04,-0.69,-66.09,3232,0,24.0557,4.88162,-314.243,18446.3,-25937,-2425.47,-580.538,-58.7008,0,56
16193,796.61,765.14,755.85,761.48,769.77,-38.09,-770.02,668.95,1.8,0.35,-1.08,-64.59,3240,0,23.9305,5.75002,-315.487,17851.6,-25949.6,-2470.38,-580.253,-56.5841,0,56
16229,796.47,765.44,755.93,761.5,769.84,-45.41,-778.32,680.66,-0.34,0.87,0.96,-64.79,3247,0,23.9264,5.32385,-309.884,17614.3,-25289.1,-2323.26,-579.608,-56.8413,0,56
16265,796.6,765.75,755.89,761.22,769.86,-43.95,-777.83,665.53,-2.27,1.15,-0.06,-64.66,3254,0,23.486,5.20346,-306.032,17539.5,-24921,-2312.4,-579.433,-57.3125,0,56
16301,797.32,766,755.83,760.78,769.98,-55.66,-776.86,661.62,0.26,5.45,-0.74,-64.07,3261,0,22.687,6.40033,-305.778,17173.8,-24753.1,-2463.2,-578.951,-56.1642,0,56
