currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Frame,SubFrame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
6141,0,0,0,0,0,-31.25,-812.5,598.63,-13.95,0.33,-4.79,1228,0,0,0,0,0,0,0,0,0,0
6172,0,0,0,0,0,-173.34,-1077.64,504.88,-21.3,-34.27,-9.76,1234,0,0,0,0,0,0,0,0,0,0
6203,0,0,0,0,0,31.25,-1096.68,215.33,50.69,-35.69,-68.15,1241,0,0,0,0,0,0,0,0,0,0
6234,0,0,0,0,0,-403.32,-2000,253.91,-90.53,91.1,-124.16,1247,0,0,0,0,0,0,0,0,0,0
6265,0,0,0,0,0,-262.7,-1502.93,491.21,-49.92,32.03,-225.56,1253,0,0,0,0,0,0,0,0,0,0
6296,0,0,0,0,0,256.84,-1992.19,990.23,-130.88,128.81,-220.04,1259,0,0,0,0,0,0,0,0,0,0
6327,0,0,0,0,0,-420.41,-983.89,300.78,110.5,61.62,-206.93,1265,0,0,0,0,0,0,0,0,0,0
6358,0,0,0,0,0,-584.96,-240.72,46.88,8.89,82.82,-136.28,1272,0,0,0,0,0,0,0,0,0,0
6389,0,0,0,0,0,-800.78,-750.98,255.37,-65.71,55.57,-52.52,1278,0,0,0,0,0,0,0,0,0,0
6420,0,0,0,0,0,-604.98,-723.63,392.58,-79.8,33.62,13.61,1284,0,0,0,0,0,0,0,0,0,0
6451,0,0,0,0,0,-525.39,-751.95,467.29,-82.21,55.45,72.69,1290,0,0,0,0,0,0,0,0,0,0
6482,0,0,0,0,0,-455.08,-757.32,496.58,-76.53,72.79,92.05,1296,0,0,0,0,0,0,0,0,0,0
6512,0,0,0,0,0,-417.48,-854.49,530.27,-74.01,82.62,93.81,1302,0,0,0,0,0,0,0,0,0,0
6542,0,0,0,0,0,-420.9,-922.85,595.7,-80.5,88.66,98.97,1308,0,0,0,0,0,0,0,0,0,0
6573,0,0,0,0,0,-407.23,-968.75,629.88,-86.95,79.31,95.17,1315,0,0,0,0,0,0,0,0,0,0
6603,0,0,0,0,0,-353.52,-1008.3,634.28,-101.91,58.21,74.4,1321,0,0,0,0,0,0,0,0,0,0
6634,0,0,0,0,0,-232.91,-1183.11,675.78,-110.44,36.28,35.43,1327,0,0,0,0,0,0,0,0,0,0
